term,sumsq,df,statistic,p.value
(Intercept),0.021773986158731676,1,4.969347382894895,0.04990984481629527
ubicacion,0.06156834298831458,2,7.025688403302863,0.012425111316374107
edad,0.029917408742989662,1,6.827872294772897,0.025906196072858857
ubicacion:edad,0.08397421748493765,2,9.582468153679791,0.004739088711655343
Residuals,0.04381659095453945,10,NA,NA
