metodo,n,media,sd,se,endpoint
ABTS,3,0.18985787730413722,0.0876235768706399,0.05058949569362182,log10_IC50
DPPH,3,1.695207669008826,0.0027578205251621675,0.0015922284225790525,log10_IC50
